# This mapping file is used by process_dr_ropeless_trees.sh to map filename prefixes to human readable vegetation names
# Format:
#     Original filename prefix |
#     Category title (category.txt) |
#     Title (info.txt) |
#     Description (info.txt) |
#     Destination folder name (library path) |
#     Destination category folder name

AESCUbuck|Aesculus (Horse Chestnut / Buckeye)|Tree, Aesculus, Glabra (Buckeye)|Aesculus (Buckeye) tree|aesculus/1|aesculus
COpinu6|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/7|pinus
COpinu7|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/8|pinus
COpinu8|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/9|pinus
COpinu9|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/10|pinus
COpinuy|Pinus (Pine)|Tree, Pinus (Pine)|Pinus (Pine) tree|pinus/11|pinus
COTTONblack1|Populus (Aspen / Poplar)|Tree, Populus, Trichocarpa (Black Cottonwood)|Populus Trichocarpa (Black Cottonwood) tree|populus/6|populus
COTTONblack2|Populus (Aspen / Poplar)|Tree, Populus, Trichocarpa (Black Cottonwood)|Populus Trichocarpa (Black Cottonwood) tree|populus/7|populus
COTTONwood|Populus (Aspen / Poplar)|Tree, Populus, Fremontii (Cottonwood)|Populus Fremontii (Cottonwood) tree|populus/8|populus
CUPRESspec|Cupressus (Cypress)|Tree, Cupressus (Cypress)|Cupressus (Cypress) tree|cupressus/5|cupressus
CYPRESSariz|Cupressus (Cypress)|Tree, Cupressus Arizonica (Arizona Cypress)|Cupressus Arizonica (Arizona Cypress) tree|cupressus/6|cupressus
Dead_Tree|Dead|Tree, dead|Dead tree|dead/2|dead
EUCAL|Eucalyptus|Tree, Eucalyptus|Eucalyptus tree|eucalyptus/1|eucalyptus
EUCALyptus|Eucalyptus|Tree, Eucalyptus|Eucalyptus tree|eucalyptus/2|eucalyptus
FAGUSameri_m|Fagus (Beech)|Tree, Fagus, Grandifolia (American Beech)|Fagus Grandifolia (American Beech) tree|fagus/4|fagus
FERNtree|Cyatheales (Tree Fern)|Tree, Cyatheales (Tree Fern)|Cyatheales (Tree Fern) tree|cyatheales/1|cyatheales
FICUSelast|Ficus (Fig)|Tree, Ficus, Elastica (Rubber Tree)|Ficus, Elastica (Rubber Tree)|ficus/2|ficus
FRAXINblack|Fraxinus (Ash)|Tree, Fraxinus, Nigra (Black Ash)|Fraxinus Nigra (Black Ash) tree|fraxinus/2|fraxinus
FRbana1|Musa (Banana / Plantain)|Tree, Musa (Banana)|Musa (Banana) tree|musa/1|musa
FRbana2|Musa (Banana / Plantain)|Tree, Musa (Banana)|Musa (Banana) tree|musa/2|musa
FRcitr|Citrus|Tree, Citrus|Citrus tree|citrus/1|citrus
FRficu|Ficus (Fig)|Tree, Ficus (Fig)|Ficus (Fig) tree|ficus/3|ficus
FRmalu1|Malus (Apple)|Tree, Malus (Apple)|Malus (Apple) tree|malus/1|malus
FRmalu2|Malus (Apple)|Tree, Malus (Apple)|Malus (Apple) tree|malus/2|malus
FRolea1|Olea (Olive)|Tree, Olea (Olive)|Olea (Olive) tree|olea/1|olea
JUNIPcalifo1|Juniperus (Juniper)|Tree, Juniperus, Californica (California Juniper)|Juniperus Californica (California Juniper) tree|juniperus/2|juniperus
JUNIPcalifo2|Juniperus (Juniper)|Tree, Juniperus, Californica (California Juniper)|Juniperus Californica (California Juniper) tree|juniperus/3|juniperus
JUNIPcalifo3|Juniperus (Juniper)|Tree, Juniperus, Californica (California Juniper)|Juniperus Californica (California Juniper) tree|juniperus/4|juniperus
JUNIPER_l|Juniperus (Juniper)|Tree, Juniperus (Juniper)|Juniperus (Juniper) tree|juniperus/5|juniperus
JUNIPER1|Juniperus (Juniper)|Tree, Juniperus (Juniper)|Juniperus (Juniper) tree|juniperus/6|juniperus
JUNIPER2|Juniperus (Juniper)|Tree, Juniperus (Juniper)|Juniperus (Juniper) tree|juniperus/7|juniperus
JUNIPered1|Juniperus (Juniper)|Tree, Juniperus, Virginiana (Red Juniper)|Juniperus Virginiana (Red Juniper) tree|juniperus/8|juniperus
JUNIPered2|Juniperus (Juniper)|Tree, Juniperus, Virginiana (Red Juniper)|Juniperus Virginiana (Red Juniper) tree|juniperus/9|juniperus
JUNIPered3|Juniperus (Juniper)|Tree, Juniperus, Virginiana (Red Juniper)|Juniperus Virginiana (Red Juniper) tree|juniperus/10|juniperus
LAUREL|Laurus (Laurel)|Tree, Laurus (Laurel)|Laurus (Laurel) tree|laurus/1|laurus
LAURELcalifo|Laurus (Laurel)|Tree, Laurus (Laurel)|Laurus (Laurel) tree|laurus/2|laurus
LIQUIsweet|Liquidambar (Sweetgum)|Tree, Liquidambar (Sweetgum)|Liquidambar (Sweetgum) tree|liquidambar/1|liquidambar
MADRONE|Arbutus (Madrone)|Tree, Arbutus (Madrone)|Arbutus (Madrone) tree|arbutus/1|arbutus
MANZAnita_l|Arctostaphylos (Manzanita)|Tree, Arctostaphylos (Manzanita)|Arctostaphylos (Manzanita) tree|arctostaphylos/1|arctostaphylos
MANZAnita_s|Arctostaphylos (Manzanita)|Tree, Arctostaphylos (Manzanita)|Arctostaphylos (Manzanita) tree|arctostaphylos/2|arctostaphylos
MAPLEred|Acer (Maple)|Tree, Acer (Maple)|Acer (Maple) tree|acer/2|acer
MESQUite_l|Prosopis (Mesquite)|Tree, Prosopis (Mesquite)|Prosopis (Mesquite) tree|prosopis/1|prosopis
MESQUite_m|Prosopis (Mesquite)|Tree, Prosopis (Mesquite)|Prosopis (Mesquite) tree|prosopis/2|prosopis
MESQUite_s|Prosopis (Mesquite)|Tree, Prosopis (Mesquite)|Prosopis (Mesquite) tree|prosopis/3|prosopis
NYSSAblack|Nyssa (Tupelo)|Tree, Nyssa, Sylvatica (Black Gum)|Nyssa, Sylvatica (Black Gum) tree|nyssa/1|nyssa
NYSSAwater|Nyssa (Tupelo)|Tree, Nyssa, Aquatica (Water Tupelo)|Nyssa, Aquatica (Water Tupelo) tree|nyssa/2|nyssa
OAKblue|Quercus (Oak)|Tree, Quercus, Douglasii (Blue Oak)|Quercus Douglasii (Blue Oak) tree|quercus/3|quercus
OAKbur|Quercus (Oak)|Tree, Quercus, Macrocarpa (Bur Oak)|Quercus Macrocarpa (Bur Oak) tree|quercus/4|quercus
OAKlive|Quercus (Oak)|Tree, Quercus (Evergreen Oak)|Quercus (Evergreen Oak) tree|quercus/5|quercus
OAKspec_m|Quercus (Oak)|Tree, Quercus (Oak)|Quercus (Oak) tree|quercus/6|quercus
OAKspec_s|Quercus (Oak)|Tree, Quercus (Oak)|Quercus (Oak) tree|quercus/7|quercus
PALM_s|Arecaceae (Palm)|Tree, Arecaceae (Palm)|Arecaceae (Palm) tree|arecaceae/1|arecaceae
PALMcalifo|Arecaceae (Palm)|Tree, Arecaceae, Washingtonia Filifera (California Palm)|Arecaceae Washingtonia Filifera (California Palm) tree|arecaceae/2|arecaceae
PALMcalifo_m|Arecaceae (Palm)|Tree, Arecaceae, Washingtonia Filifera (California Palm)|Arecaceae Washingtonia Filifera (California Palm) tree|arecaceae/3|arecaceae
PALMpaurotis|Arecaceae (Palm)|Tree, Arecaceae, Acoelorrhaphe Wrightii (Paurotis Palm)|Arecaceae Acoelorrhaphe Wrightii (Paurotis Palm) tree|arecaceae/4|arecaceae
PALMreal|Arecaceae (Palm)|Tree, Arecaceae (Palm)|Arecaceae (Palm) tree|arecaceae/5|arecaceae
PALMsabal_l|Arecaceae (Palm)|Tree, Arecaceae, Sabaleae (Sabal Palm)|Arecaceae Sabaleae (Sabal Palm) tree|arecaceae/6|arecaceae
PALMsabal_m|Arecaceae (Palm)|Tree, Arecaceae, Sabaleae (Sabal Palm)|Arecaceae Sabaleae (Sabal Palm) tree|arecaceae/7|arecaceae
PALMspec1|Arecaceae (Palm)|Tree, Arecaceae (Palm)|Arecaceae (Palm) tree|arecaceae/8|arecaceae
PALMspec2|Arecaceae (Palm)|Tree, Arecaceae (Palm)|Arecaceae (Palm) tree|arecaceae/9|arecaceae
